[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 128.112 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 200 [response-time]: 0.377 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_code_customer HTTP/1.1 [status]: 304 [response-time]: 33.459 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 200 [response-time]: 0.337 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 195.187 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 200 [response-time]: 0.348 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_data HTTP/1.1 [status]: 304 [response-time]: 56.300 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/edit_customer HTTP/1.1 [status]: 200 [response-time]: 14.851 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/edit_customer HTTP/1.1 [status]: 200 [response-time]: 99.906 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/edit_customer HTTP/1.1 [status]: 200 [response-time]: 88.855 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
