[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.155 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.641 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 26.905 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 4.905 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.107 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 4.279 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.206 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.918 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 3.937 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
[05: 06: 36] [ip]: ::ffff:192.168.1.111 - [method]: POST [url]: /api/v1/quotation/get_name_project HTTP/1.1 [status]: 200 [response-time]: 5.749 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.68
